"","Cell_line","Histology","TCGA_classification","CCLE_Name","Broad_ID"
"589","LN235","central_nervous_system","GBMLGG","LN235_CENTRAL_NERVOUS_SYSTEM","ACH-000591"
"590","TM31","central_nervous_system","GBMLGG","TM31_CENTRAL_NERVOUS_SYSTEM","ACH-000592"
"591","BC3C","urinary_tract","BLCA","BC3C_URINARY_TRACT","ACH-000593"
"592","DMS153","lung","SCLC","DMS153_LUNG","ACH-000594"
"593","LN229","central_nervous_system","GBMLGG","LN229_CENTRAL_NERVOUS_SYSTEM","ACH-000595"
"594","LCLC97TM1","lung",NA,"LCLC97TM1_LUNG","ACH-000596"
"595","TTC709","soft_tissue","SARC","TTC709_SOFT_TISSUE","ACH-000597"
"596","KMS21BM","haematopoietic_and_lymphoid_tissue","MM","KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000598"
"597","PATU8902","pancreas","PAAD","PATU8902_PANCREAS","ACH-000599"
"598","SLR26","kidney","KIRC","SLR26_KIDNEY","ACH-000600"
"599","MIAPACA2","pancreas","PAAD","MIAPACA2_PANCREAS","ACH-000601"
"600","M07E","haematopoietic_and_lymphoid_tissue","LAML","M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000602"
"601","BEN","lung",NA,"BEN_LUNG","ACH-000603"
"602","KYO1","haematopoietic_and_lymphoid_tissue","LCML","KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000604"
"603","TE6","oesophagus","ESCA","TE6_OESOPHAGUS","ACH-000605"
"604","PECAPJ34CLONEC12","upper_aerodigestive_tract","HNSC","PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT","ACH-000606"
"605","KYM1","soft_tissue","SARC","KYM1_SOFT_TISSUE","ACH-000607"
"606","COV644","ovary","OV","COV644_OVARY","ACH-000608"
"607","SF126","central_nervous_system","GBMLGG","SF126_CENTRAL_NERVOUS_SYSTEM","ACH-000609"
"608","NCIH2227","lung","SCLC","NCIH2227_LUNG","ACH-000610"
"609","SUDHL6","haematopoietic_and_lymphoid_tissue","DLBC","SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000611"
"610","HUT102","haematopoietic_and_lymphoid_tissue",NA,"HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000612"
"611","HOS","bone","SARC","HOS_BONE","ACH-000613"
"612","RVH421","skin","SKCM","RVH421_SKIN","ACH-000614"
"613","SKMEL28","skin","SKCM","SKMEL28_SKIN","ACH-000615"
"614","HS746T","stomach","STAD","HS746T_STOMACH","ACH-000616"
"615","OVCAR4","ovary","OV","OVCAR4_OVARY","ACH-000617"
"616","SNU1041","upper_aerodigestive_tract","HNSC","SNU1041_UPPER_AERODIGESTIVE_TRACT","ACH-000618"
"617","PECAPJ15","upper_aerodigestive_tract","HNSC","PECAPJ15_UPPER_AERODIGESTIVE_TRACT","ACH-000619"
"618","JHH1","liver","LIHC","JHH1_LIVER","ACH-000620"
"619","MDAMB157","breast","BRCA","MDAMB157_BREAST","ACH-000621"
"620","KNS42","central_nervous_system","GBMLGG","KNS42_CENTRAL_NERVOUS_SYSTEM","ACH-000622"
"621","SNU201","central_nervous_system","GBMLGG","SNU201_CENTRAL_NERVOUS_SYSTEM","ACH-000623"
"622","HCC1806","breast","BRCA","HCC1806_BREAST","ACH-000624"
"623","HEP3B217","liver","LIHC","HEP3B217_LIVER","ACH-000625"
"624","U266B1","haematopoietic_and_lymphoid_tissue","MM","U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000626"
"625","LCLC103H","lung",NA,"LCLC103H_LUNG","ACH-000627"
"626","NCIH596","lung","LUAD","NCIH596_LUNG","ACH-000628"
"627","IOMMLEE","central_nervous_system",NA,"IOMMLEE_CENTRAL_NERVOUS_SYSTEM","ACH-000629"
"628","YD8","upper_aerodigestive_tract","HNSC","YD8_UPPER_AERODIGESTIVE_TRACT","ACH-000630"
"629","KS1","central_nervous_system","GBMLGG","KS1_CENTRAL_NERVOUS_SYSTEM","ACH-000631"
"630","HS944T","skin","SKCM","HS944T_SKIN","ACH-000632"
"631","FU97","stomach","STAD","FU97_STOMACH","ACH-000633"
"632","LN340","central_nervous_system","GBMLGG","LN340_CENTRAL_NERVOUS_SYSTEM","ACH-000634"
"633","SNU119","ovary","OV","SNU119_OVARY","ACH-000635"
"634","RPMI8402","haematopoietic_and_lymphoid_tissue","ALL","RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000636"
"635","KYSE520","oesophagus","ESCA","KYSE520_OESOPHAGUS","ACH-000637"
"636","NCIH441","lung","LUAD","NCIH441_LUNG","ACH-000638"
"637","NCIH211","lung","SCLC","NCIH211_LUNG","ACH-000639"
"638","SKMEL31","skin","SKCM","SKMEL31_SKIN","ACH-000640"
"639","CMK","haematopoietic_and_lymphoid_tissue","LAML","CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000641"
"640","HMEL","breast","BRCA","HMEL_BREAST","ACH-000642"
"641","HDQP1","breast","BRCA","HDQP1_BREAST","ACH-000643"
"642","COLO829","skin","SKCM","COLO829_SKIN","ACH-000644"
"643","JL1","pleura","MESO","JL1_PLEURA","ACH-000645"
"644","OVMANA","ovary","OV","OVMANA_OVARY","ACH-000646"
"645","TE1","oesophagus","ESCA","TE1_OESOPHAGUS","ACH-000647"
"646","NCIH28","pleura","MESO","NCIH28_PLEURA","ACH-000648"
"647","786O","kidney","KIRC","786O_KIDNEY","ACH-000649"
"648","IGR37","skin","SKCM","IGR37_SKIN","ACH-000650"
"649","SW620","large_intestine","COADREAD","SW620_LARGE_INTESTINE","ACH-000651"
"650","SUIT2","pancreas","PAAD","SUIT2_PANCREAS","ACH-000652"
"651","JJN3","haematopoietic_and_lymphoid_tissue","MM","JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000653"
"652","RAJI","haematopoietic_and_lymphoid_tissue","DLBC","RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000654"
"653","SF268","central_nervous_system","GBMLGG","SF268_CENTRAL_NERVOUS_SYSTEM","ACH-000655"
"654","SUDHL8","haematopoietic_and_lymphoid_tissue","DLBC","SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000656"
"655","A2780","ovary","OV","A2780_OVARY","ACH-000657"
"656","KMS18","haematopoietic_and_lymphoid_tissue","MM","KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000658"
"657","SCLC21H","lung","SCLC","SCLC21H_LUNG","ACH-000659"
"658","SUDHL5","haematopoietic_and_lymphoid_tissue","DLBC","SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000660"
"659","WM1799","skin","SKCM","WM1799_SKIN","ACH-000661"
"660","CORL23","lung",NA,"CORL23_LUNG","ACH-000662"
"661","OVTOKO","ovary","OV","OVTOKO_OVARY","ACH-000663"
"662","SUDHL1","haematopoietic_and_lymphoid_tissue",NA,"SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000664"
"663","SKMES1","lung","LUSC","SKMES1_LUNG","ACH-000665"
"664","NCIH1355","lung","LUAD","NCIH1355_LUNG","ACH-000666"
"665","HCC44","lung","LUAD","HCC44_LUNG","ACH-000667"
"666","HCC70","breast","BRCA","HCC70_BREAST","ACH-000668"
"667","SW900","lung","LUSC","SW900_LUNG","ACH-000669"
"668","SBC5","lung","SCLC","SBC5_LUNG","ACH-000670"
"669","HUH6","liver","LIHC","HUH6_LIVER","ACH-000671"
"670","IALM","lung",NA,"IALM_LUNG","ACH-000672"
"671","LN443","central_nervous_system","GBMLGG","LN443_CENTRAL_NERVOUS_SYSTEM","ACH-000673"
"672","NUGC4","stomach","STAD","NUGC4_STOMACH","ACH-000674"
"673","NCIH1734","lung","LUAD","NCIH1734_LUNG","ACH-000675"
"674","LN464","central_nervous_system","GBMLGG","LN464_CENTRAL_NERVOUS_SYSTEM","ACH-000676"
"675","SW1573","lung","LUAD","SW1573_LUNG","ACH-000677"
"676","MKN7","stomach","STAD","MKN7_STOMACH","ACH-000678"
"677","OE19","oesophagus","ESCA","OE19_OESOPHAGUS","ACH-000679"
"678","SW948","large_intestine","COADREAD","SW948_LARGE_INTESTINE","ACH-000680"
"679","A549","lung","LUAD","A549_LUNG","ACH-000681"
"680","SNU1066","upper_aerodigestive_tract","HNSC","SNU1066_UPPER_AERODIGESTIVE_TRACT","ACH-000682"
"681","SNU503","large_intestine","COADREAD","SNU503_LARGE_INTESTINE","ACH-000683"
"682","KMRC1","kidney","KIRC","KMRC1_KIDNEY","ACH-000684"
"683","L33","pancreas","PAAD","L33_PANCREAS","ACH-000685"
"684","SNU878","liver","LIHC","SNU878_LIVER","ACH-000686"
"685","CI1","haematopoietic_and_lymphoid_tissue","DLBC","CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000687"
"686","OV7","ovary","OV","OV7_OVARY","ACH-000688"
"687","RH18","soft_tissue","SARC","RH18_SOFT_TISSUE","ACH-000689"
"688","HCC2814","lung","LUSC","HCC2814_LUNG","ACH-000690"
"689","HCC2157","breast","BRCA","HCC2157_BREAST","ACH-000691"
"690","SNU899","upper_aerodigestive_tract","HNSC","SNU899_UPPER_AERODIGESTIVE_TRACT","ACH-000692"
"691","KYSE180","oesophagus","ESCA","KYSE180_OESOPHAGUS","ACH-000693"
"692","TE9","oesophagus","ESCA","TE9_OESOPHAGUS","ACH-000694"
"693","CORL47","lung","SCLC","CORL47_LUNG","ACH-000695"
"694","OVCAR8","ovary","OV","OVCAR8_OVARY","ACH-000696"
"695","A3KAW","haematopoietic_and_lymphoid_tissue","DLBC","A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000697"
"696","DMS53","lung","SCLC","DMS53_LUNG","ACH-000698"
"697","HCC1395","breast","BRCA","HCC1395_BREAST","ACH-000699"
"698","NCIH2882","lung","LUSC","NCIH2882_LUNG","ACH-000700"
"699","RMUGS","ovary","OV","RMUGS_OVARY","ACH-000701"
"700","L1236","haematopoietic_and_lymphoid_tissue",NA,"L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000702"
"701","DMS79","lung","SCLC","DMS79_LUNG","ACH-000703"
"702","OAW42","ovary","OV","OAW42_OVARY","ACH-000704"
"703","LC1F","lung","LUSC","LC1F_LUNG","ACH-000705"
"704","EKVX","lung","LUAD","EKVX_LUNG","ACH-000706"
"705","P3HR1","haematopoietic_and_lymphoid_tissue","DLBC","P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000707"
"706","SNU283","large_intestine","COADREAD","SNU283_LARGE_INTESTINE","ACH-000708"
"707","KMRC2","kidney","KIRC","KMRC2_KIDNEY","ACH-000709"
"708","NCIH854","lung","LUAD","NCIH854_LUNG","ACH-000710"
"709","JIMT1","breast","BRCA","JIMT1_BREAST","ACH-000711"
"710","HCC1833","lung","LUAD","HCC1833_LUNG","ACH-000712"
"711","CAOV3","ovary","OV","CAOV3_OVARY","ACH-000713"
"712","KMS11","haematopoietic_and_lymphoid_tissue","MM","KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000714"
"713","SNU1214","upper_aerodigestive_tract","HNSC","SNU1214_UPPER_AERODIGESTIVE_TRACT","ACH-000715"
"714","TT2609C02","thyroid","THCA","TT2609C02_THYROID","ACH-000716"
"715","COLO680N","oesophagus","ESCA","COLO680N_OESOPHAGUS","ACH-000717"
"716","NCIH2291","lung","LUAD","NCIH2291_LUNG","ACH-000718"
"717","RMGI","ovary","OV","RMGI_OVARY","ACH-000719"
"718","TCCSUP","urinary_tract","BLCA","TCCSUP_URINARY_TRACT","ACH-000720"
"719","HMC18","breast","BRCA","HMC18_BREAST","ACH-000721"
"720","SNUC1","large_intestine","COADREAD","SNUC1_LARGE_INTESTINE","ACH-000722"
"721","YD10B","upper_aerodigestive_tract","HNSC","YD10B_UPPER_AERODIGESTIVE_TRACT","ACH-000723"
"722","HT1376","urinary_tract","BLCA","HT1376_URINARY_TRACT","ACH-000724"
"723","HCC202","breast","BRCA","HCC202_BREAST","ACH-000725"
"724","TE14","oesophagus","ESCA","TE14_OESOPHAGUS","ACH-000726"
"725","NCIH2066","lung","SCLC","NCIH2066_LUNG","ACH-000727"
"726","KASUMI2","haematopoietic_and_lymphoid_tissue","ALL","KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000728"
"727","NCIH1963","lung","SCLC","NCIH1963_LUNG","ACH-000729"
"728","SKMEL5","skin","SKCM","SKMEL5_SKIN","ACH-000730"
"729","HCC2279","lung","LUAD","HCC2279_LUNG","ACH-000731"
"730","PECAPJ41CLONED2","upper_aerodigestive_tract","HNSC","PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT","ACH-000732"
"731","NCIH1838","lung","LUAD","NCIH1838_LUNG","ACH-000733"
"732","JHH5","liver","LIHC","JHH5_LIVER","ACH-000734"
"733","PECAPJ49","upper_aerodigestive_tract","HNSC","PECAPJ49_UPPER_AERODIGESTIVE_TRACT","ACH-000735"
"734","SNU601","stomach","STAD","SNU601_STOMACH","ACH-000736"
"735","NCIH1385","lung","LUSC","NCIH1385_LUNG","ACH-000737"
"736","GB1","central_nervous_system","GBMLGG","GB1_CENTRAL_NERVOUS_SYSTEM","ACH-000738"
"737","HEPG2","liver","LIHC","HEPG2_LIVER","ACH-000739"
"738","A253","salivary_gland","HNSC","A253_SALIVARY_GLAND","ACH-000740"
"739","UBLC1","urinary_tract","BLCA","UBLC1_URINARY_TRACT","ACH-000741"
"740","DM3","fibroblast","MESO","DM3_FIBROBLAST","ACH-000742"
"741","CORL95","lung","SCLC","CORL95_LUNG","ACH-000743"
"742","NCIH1623","lung","LUAD","NCIH1623_LUNG","ACH-000744"
"743","MOLP8","haematopoietic_and_lymphoid_tissue","MM","MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000745"
"744","GSS","stomach","STAD","GSS_STOMACH","ACH-000746"
"745","NCIH1703","lung","LUSC","NCIH1703_LUNG","ACH-000747"
"746","SJSA1","bone","SARC","SJSA1_BONE","ACH-000748"
"747","DMS273","lung","SCLC","DMS273_LUNG","ACH-000749"
"748","LOXIMVI","skin","SKCM","LOXIMVI_SKIN","ACH-000750"
"749","OCIM1","haematopoietic_and_lymphoid_tissue","LAML","OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000751"
"750","NCIH196","lung","SCLC","NCIH196_LUNG","ACH-000752"
"751","JMSU1","urinary_tract","BLCA","JMSU1_URINARY_TRACT","ACH-000753"
"752","L428","haematopoietic_and_lymphoid_tissue",NA,"L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000754"
"753","HCC2218","breast","BRCA","HCC2218_BREAST","ACH-000755"
"754","GI1","central_nervous_system","GBMLGG","GI1_CENTRAL_NERVOUS_SYSTEM","ACH-000756"
"755","A427","lung","LUAD","A427_LUNG","ACH-000757"
"756","MKN74","stomach","STAD","MKN74_STOMACH","ACH-000758"
"757","MDAMB175VII","breast","BRCA","MDAMB175VII_BREAST","ACH-000759"
"758","LNZ308","central_nervous_system","GBMLGG","LNZ308_CENTRAL_NERVOUS_SYSTEM","ACH-000760"
"759","NUGC2","stomach","STAD","NUGC2_STOMACH","ACH-000761"
"760","YD38","upper_aerodigestive_tract","HNSC","YD38_UPPER_AERODIGESTIVE_TRACT","ACH-000762"
"761","MM1S","haematopoietic_and_lymphoid_tissue","MM","MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000763"
"762","SH10TC","stomach","STAD","SH10TC_STOMACH","ACH-000764"
"763","WM983B","skin","SKCM","WM983B_SKIN","ACH-000765"
"764","NCIH1648","lung","LUAD","NCIH1648_LUNG","ACH-000766"
"765","NCIH526","lung","SCLC","NCIH526_LUNG","ACH-000767"
"766","MDAMB231","breast","BRCA","MDAMB231_BREAST","ACH-000768"
"767","LK2","lung","LUSC","LK2_LUNG","ACH-000769"
"768","P31FUJ","haematopoietic_and_lymphoid_tissue","LAML","P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000770"
"769","BICR56","upper_aerodigestive_tract","HNSC","BICR56_UPPER_AERODIGESTIVE_TRACT","ACH-000771"
"770","TE441T","soft_tissue","SARC","TE441T_SOFT_TISSUE","ACH-000772"
"771","KIJK","haematopoietic_and_lymphoid_tissue",NA,"KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000773"
"772","RERFLCAD2","lung","LUAD","RERFLCAD2_LUNG","ACH-000774"
"773","NCIH727","lung","LUAD","NCIH727_LUNG","ACH-000775"
"774","ONS76","central_nervous_system","MB","ONS76_CENTRAL_NERVOUS_SYSTEM","ACH-000776"
"775","KYSE30","oesophagus","ESCA","KYSE30_OESOPHAGUS","ACH-000777"
"776","HSC3","upper_aerodigestive_tract","HNSC","HSC3_UPPER_AERODIGESTIVE_TRACT","ACH-000778"
"777","PC9","lung","LUAD","PC9_LUNG","ACH-000779"
"778","NCIH1105","lung","SCLC","NCIH1105_LUNG","ACH-000780"
"779","NCIH2023","lung","LUAD","NCIH2023_LUNG","ACH-000781"
"780","SEM","haematopoietic_and_lymphoid_tissue","ALL","SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000782"
"781","CAMA1","breast","BRCA","CAMA1_BREAST","ACH-000783"
"782","KYSE70","oesophagus","ESCA","KYSE70_OESOPHAGUS","ACH-000784"
"783","NCIH2126","lung","LUAD","NCIH2126_LUNG","ACH-000785"
"784","DAUDI","haematopoietic_and_lymphoid_tissue","DLBC","DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000786"
"785","LXF289","lung","LUAD","LXF289_LUNG","ACH-000787"
"786","A2058","skin","SKCM","A2058_SKIN","ACH-000788"
"787","NCIH810","lung",NA,"NCIH810_LUNG","ACH-000789"
"788","SHP77","lung","SCLC","SHP77_LUNG","ACH-000790"
"789","RERFLCAD1","lung","LUAD","RERFLCAD1_LUNG","ACH-000791"
"790","BFTC909","kidney","KIRC","BFTC909_KIDNEY","ACH-000792"
"791","KATOIII","stomach","STAD","KATOIII_STOMACH","ACH-000793"
"792","BICR22","upper_aerodigestive_tract","HNSC","BICR22_UPPER_AERODIGESTIVE_TRACT","ACH-000794"
"793","MOLT13","haematopoietic_and_lymphoid_tissue","ALL","MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000795"
"794","MCAS","ovary","OV","MCAS_OVARY","ACH-000796"
"795","HLFA","fibroblast","LUSC","HLFA_FIBROBLAST","ACH-000797"
"796","CL40","large_intestine","COADREAD","CL40_LARGE_INTESTINE","ACH-000798"
"797","HS695T","skin","SKCM","HS695T_SKIN","ACH-000799"
"798","NCIH446","lung","SCLC","NCIH446_LUNG","ACH-000800"
"799","HS936T","skin","SKCM","HS936T_SKIN","ACH-000801"
"800","BFTC905","urinary_tract","BLCA","BFTC905_URINARY_TRACT","ACH-000802"
"801","COLO668","lung","SCLC","COLO668_LUNG","ACH-000803"
"802","NB1","autonomic_ganglia","NB","NB1_AUTONOMIC_GANGLIA","ACH-000804"
"803","COLO679","skin","SKCM","COLO679_SKIN","ACH-000805"
"804","L540","haematopoietic_and_lymphoid_tissue",NA,"L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000806"
"805","SNU738","central_nervous_system","GBMLGG","SNU738_CENTRAL_NERVOUS_SYSTEM","ACH-000807"
"806","HUH28","biliary_tract","CHOL","HUH28_BILIARY_TRACT","ACH-000808"
"807","KYSE410","oesophagus","ESCA","KYSE410_OESOPHAGUS","ACH-000809"
"808","SKMEL30","skin","SKCM","SKMEL30_SKIN","ACH-000810"
"809","SKOV3","ovary","OV","SKOV3_OVARY","ACH-000811"
"810","COLO783","skin","SKCM","COLO783_SKIN","ACH-000812"
"811","T3M10","lung",NA,"T3M10_LUNG","ACH-000813"
"812","HS939T","skin","SKCM","HS939T_SKIN","ACH-000814"
"813","KMH2","haematopoietic_and_lymphoid_tissue",NA,"KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000815"
"814","NCIH524","lung","SCLC","NCIH524_LUNG","ACH-000816"
"815","RPMI8226","haematopoietic_and_lymphoid_tissue","MM","RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000817"
"816","BT483","breast","BRCA","BT483_BREAST","ACH-000818"
"817","LN18","central_nervous_system","GBMLGG","LN18_CENTRAL_NERVOUS_SYSTEM","ACH-000819"
"818","SW403","large_intestine","COADREAD","SW403_LARGE_INTESTINE","ACH-000820"
"819","EJM","haematopoietic_and_lymphoid_tissue","MM","EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000821"
"820","SKMEL24","skin","SKCM","SKMEL24_SKIN","ACH-000822"
"821","KYSE140","oesophagus","ESCA","KYSE140_OESOPHAGUS","ACH-000823"
"822","KYSE510","oesophagus","ESCA","KYSE510_OESOPHAGUS","ACH-000824"
"823","HOP92","lung",NA,"HOP92_LUNG","ACH-000825"
"824","CAL12T","lung",NA,"CAL12T_LUNG","ACH-000826"
"825","WM793","skin","SKCM","WM793_SKIN","ACH-000827"
"826","ZR7530","breast","BRCA","ZR7530_BREAST","ACH-000828"
"827","HUNS1","haematopoietic_and_lymphoid_tissue","MM","HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000829"
"828","NCIH1436","lung","SCLC","NCIH1436_LUNG","ACH-000830"
"829","HEC50B","endometrium","UCEC","HEC50B_ENDOMETRIUM","ACH-000831"
"830","CAL27","upper_aerodigestive_tract","HNSC","CAL27_UPPER_AERODIGESTIVE_TRACT","ACH-000832"
"831","RH30","soft_tissue","SARC","RH30_SOFT_TISSUE","ACH-000833"
"832","UMUC1","urinary_tract","BLCA","UMUC1_URINARY_TRACT","ACH-000834"
"833","GCT","soft_tissue","SARC","GCT_SOFT_TISSUE","ACH-000835"
"834","YD15","salivary_gland","HNSC","YD15_SALIVARY_GLAND","ACH-000836"
"835","NCIH322","lung","LUAD","NCIH322_LUNG","ACH-000837"
"836","AMO1","haematopoietic_and_lymphoid_tissue","MM","AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000838"
"837","SCABER","urinary_tract","BLCA","SCABER_URINARY_TRACT","ACH-000839"
"838","HCC366","lung","LUAD","HCC366_LUNG","ACH-000840"
"839","NCIH2087","lung","LUAD","NCIH2087_LUNG","ACH-000841"
"840","SW480","large_intestine","COADREAD","SW480_LARGE_INTESTINE","ACH-000842"
"841","HARA","lung","LUSC","HARA_LUNG","ACH-000843"
"842","DMS454","lung","SCLC","DMS454_LUNG","ACH-000844"
"843","NCIH1373","lung","LUAD","NCIH1373_LUNG","ACH-000845"
"844","FADU","upper_aerodigestive_tract","HNSC","FADU_UPPER_AERODIGESTIVE_TRACT","ACH-000846"
"845","HGC27","stomach","STAD","HGC27_STOMACH","ACH-000847"
"846","JHH7","liver","LIHC","JHH7_LIVER","ACH-000848"
"847","MDAMB468","breast","BRCA","MDAMB468_BREAST","ACH-000849"
"848","HS698T","fibroblast","COADREAD","HS698T_FIBROBLAST","ACH-000850"
"849","MORCPR","lung","LUAD","MORCPR_LUNG","ACH-000851"
"850","NCIH1435","lung","LUAD","NCIH1435_LUNG","ACH-000852"
"851","NCIH661","lung",NA,"NCIH661_LUNG","ACH-000853"
"852","OCIMY5","haematopoietic_and_lymphoid_tissue","MM","OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000854"
"853","KYSE150","oesophagus","ESCA","KYSE150_OESOPHAGUS","ACH-000855"
"854","CAL51","breast","BRCA","CAL51_BREAST","ACH-000856"
"855","CAL851","breast","BRCA","CAL851_BREAST","ACH-000857"
"856","KNS62","lung","LUSC","KNS62_LUNG","ACH-000858"
"857","HCC1954","breast","BRCA","HCC1954_BREAST","ACH-000859"
"858","NCIH358","lung","LUAD","NCIH358_LUNG","ACH-000860"
"859","HOP62","lung","LUAD","HOP62_LUNG","ACH-000861"
"860","KMBC2","urinary_tract","BLCA","KMBC2_URINARY_TRACT","ACH-000862"
"861","DBTRG05MG","central_nervous_system","GBMLGG","DBTRG05MG_CENTRAL_NERVOUS_SYSTEM","ACH-000863"
"862","COLO684","endometrium","UCEC","COLO684_ENDOMETRIUM","ACH-000864"
"863","KYSE450","oesophagus","ESCA","KYSE450_OESOPHAGUS","ACH-000865"
"864","NCIH1048","lung","SCLC","NCIH1048_LUNG","ACH-000866"
"865","CHAGOK1","lung","LUAD","CHAGOK1_LUNG","ACH-000867"
"866","HCC1195","lung","LUAD","HCC1195_LUNG","ACH-000868"
"867","NCIH1568","lung","LUAD","NCIH1568_LUNG","ACH-000869"
"868","NCIH1930","lung","SCLC","NCIH1930_LUNG","ACH-000870"
"869","NCIH510","lung","SCLC","NCIH510_LUNG","ACH-000871"
"870","HCC515","lung","LUAD","HCC515_LUNG","ACH-000872"
"871","KYSE270","oesophagus","ESCA","KYSE270_OESOPHAGUS","ACH-000873"
"872","RS411","haematopoietic_and_lymphoid_tissue","ALL","RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000874"
"873","NCIH2347","lung","LUAD","NCIH2347_LUNG","ACH-000875"
"874","MDAMB415","breast","BRCA","MDAMB415_BREAST","ACH-000876"
"875","EB1","haematopoietic_and_lymphoid_tissue","DLBC","EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000877"
"876","HCC15","lung","LUSC","HCC15_LUNG","ACH-000878"
"877","MFE296","endometrium","UCEC","MFE296_ENDOMETRIUM","ACH-000879"
"878","AGS","stomach","STAD","AGS_STOMACH","ACH-000880"
"879","MELJUSO","skin","SKCM","MELJUSO_SKIN","ACH-000881"
"880","IGR1","skin","SKCM","IGR1_SKIN","ACH-000882"
"881","SW1783","central_nervous_system","GBMLGG","SW1783_CENTRAL_NERVOUS_SYSTEM","ACH-000883"
"882","MDAMB435S","skin","SKCM","MDAMB435S_SKIN","ACH-000884"
"883","TOV21G","ovary","OV","TOV21G_OVARY","ACH-000885"
"884","NCIH2009","lung","LUAD","NCIH2009_LUNG","ACH-000886"
"885","SF172","central_nervous_system","GBMLGG","SF172_CENTRAL_NERVOUS_SYSTEM","ACH-000887"
"886","NCIH1793","lung","LUAD","NCIH1793_LUNG","ACH-000888"
"887","KMM1","haematopoietic_and_lymphoid_tissue","MM","KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000889"
"888","SW1271","lung","SCLC","SW1271_LUNG","ACH-000890"
"889","HCC1438","lung",NA,"HCC1438_LUNG","ACH-000891"
"890","NCIH1563","lung","LUAD","NCIH1563_LUNG","ACH-000892"
"891","NCIH1651","lung","LUAD","NCIH1651_LUNG","ACH-000893"
"892","NCIH1869","lung","LUSC","NCIH1869_LUNG","ACH-000894"
"893","CL34","large_intestine","COADREAD","CL34_LARGE_INTESTINE","ACH-000895"
"894","647V","urinary_tract","BLCA","647V_URINARY_TRACT","ACH-000896"
"895","FTC238","thyroid","THCA","FTC238_THYROID","ACH-000897"
"896","SNU719","stomach","STAD","SNU719_STOMACH","ACH-000898"
"897","WM88","skin","SKCM","WM88_SKIN","ACH-000899"
"898","NCIH23","lung","LUAD","NCIH23_LUNG","ACH-000900"
"899","HCC1359","lung",NA,"HCC1359_LUNG","ACH-000901"
"900","CAL148","breast","BRCA","CAL148_BREAST","ACH-000902"
"901","FTC133","thyroid","THCA","FTC133_THYROID","ACH-000903"
"902","NCIH2106","lung",NA,"NCIH2106_LUNG","ACH-000904"
