n_replicates,DepMap_ID,cell_line_SSMD,culture_type,culture_medium,aliases,CCLE_name,primary_tissue,secondary_tissue,tertiary_tissue,cas9_activity
2,ACH-000771,-1.9056988638846477,,DMEM; 10% FBS; 2mM Glutamine; 0.4ug/ml hydrocortisone,BICR 56,BICR56_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,19.3
3,ACH-000773,-1.4191398806384286,Suspension,RPMI 1640 + 20% FBS,Ki-JK,KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,ALCL,,16.8
2,ACH-000776,-1.8049878328784248,Adherent,RPMI; 10% FBS,ONS-76,ONS76_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma,non-MYC,6.5
2,ACH-000777,-1.4710121112730312,Adherent,RPMI:F12 (1:1); 20% FBS,KYSE-30,KYSE30_OESOPHAGUS,esophagus,esophagus_squamous,,11
2,ACH-000778,-0.7519314672955553,Adherent,EMEM; 10% FBS,HSC-3,HSC3_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,20.2
4,ACH-000781,-1.406509987224929,Adherent,DMEM:F12 (1:1); 5% FBS; 0.005 mgml Insulin; 0.01 mgml transferrin; 30 nM sodium selenite; 10 nM hydrocortisone; 10 nM beta estradiol; 10 mM HEPES; 2 mM L-glutamine,NCI-H2023,NCIH2023_LUNG,lung,lung_NSC,lung_adenocarcinoma,15.2
2,ACH-000782,-2.356081454525744,Suspension,IMDM; 10% FBS,SEM,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,B-cell_ALL,,25.4
3,ACH-000783,-1.2920953315857209,Adherent,EMEM;10% FBS; ,CAMA-1,CAMA1_BREAST,breast,ERpos,,6.5
2,ACH-000784,-1.6716885765824108,Adherent,RPMI; 10% FBS,KYSE-70,KYSE70_OESOPHAGUS,esophagus,esophagus_squamous,,13.6
3,ACH-000785,-1.2657944426685146,Adherent,DMEM:F12 (1:1); 5% FBS; 0.005 mg/ml Insulin; 0.01 mg/ml transferrin; 30 nM sodium selenite; 10 nM hydrocortisone; 10 nM beta estradiol; 10 mM HEPES; 2 mM L-glutamine,NCI-H2126,NCIH2126_LUNG,lung,lung_NSC,lung_adenocarcinoma,18.7
3,ACH-000787,-1.5141288850660608,Adherent,Hams F-12; 10% FBS,LXF-289,LXF289_LUNG,lung,lung_NSC,lung_adenocarcinoma,17.8
2,ACH-000788,-1.3900305827163115,Adherent,DMEM; 10% FBS,A2058,A2058_SKIN,skin,melanoma,,0
4,ACH-000791,-1.4652299406534646,Adherent,RPMI; 10% FBS,RERF-LC-Ad1,RERFLCAD1_LUNG,lung,lung_NSC,lung_adenocarcinoma,12.8
2,ACH-000792,-0.9945539341488816,Adherent,DMEM;10 % FBS; ,BFTC-909,BFTC909_KIDNEY,kidney,,,38.8
2,ACH-000794,-1.533629240424324,Adherent,DMEM; 10% FBS; 2mM Glutamine; 0.4ug/ml hydrocortisone,BICR 22,BICR22_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,5.6
2,ACH-000796,-1.1830847421546673,Adherent,EMEM: 85.0% 15%FBS,MCAS,MCAS_OVARY,ovary,ovary_adenocarcinoma,ovary_mucinous,9.8
2,ACH-000798,-1.1908267422514374,Adherent,DMEM/F-12 (1:1): 80.0%,CL-40,CL40_LARGE_INTESTINE,colorectal,,,23.9
2,ACH-000799,-1.2223661276602409,Adherent,EMEM: 10% FBS,Hs 695T,HS695T_SKIN,skin,melanoma,,37.8
2,ACH-000800,-0.9896700042425108,Adherent,RPMI; 10% FBS,NCI-H446,NCIH446_LUNG,lung,lung_small,,17.2
2,ACH-000802,-1.3668443710047784,Adherent,DMEM: 90.0%,BFTC-905,BFTC905_URINARY_TRACT,urinary_tract,,,38.8
3,ACH-000804,-1.0999322763792083,Adherent,RPMI-1640: 10%FBS,NB-1,NB1_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,35.6
2,ACH-000805,-1.4249823015162548,Adherent,RPMI;10% FBS; ,COLO-679,COLO679_SKIN,skin,melanoma,,25.9
2,ACH-000809,-1.4837966083099767,Adherent,RPMI-1640: 90.0%,KYSE-410,KYSE410_OESOPHAGUS,esophagus,esophagus_squamous,,8.7
1,ACH-000810,-0.8597951911972188,Adherent,RPMI-1640; 10%FBS,SK-MEL-30,SKMEL30_SKIN,skin,melanoma,,30.3
3,ACH-000811,-0.8266988537069189,Adherent,McCoy's 5A; 10% FBS,SK-OV-3,SKOV3_OVARY,ovary,ovary_adenocarcinoma,ovary_serous,20.6
2,ACH-000817,-2.24042752578092,Adherent+Suspension,RPMI; 10% FBS,RPMI 8226,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,39.3
2,ACH-000819,-1.4563203874710209,Adherent,DMEM; 5% FBS,LN-18,LN18_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,19.5
1,ACH-000820,-0.6294611712180999,Adherent,Leibovitz's L-15; 10%FBS,SW403,SW403_LARGE_INTESTINE,colorectal,,,75.2
2,ACH-000821,-1.0009975148388646,Semi-adherent,IMDM; 10% FBS,EJM,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,23.9
2,ACH-000822,-0.9516597230206504,Adherent,EMEM: 10%FBS,SK-MEL-24,SKMEL24_SKIN,skin,melanoma,,20.9
2,ACH-000823,-1.4852464262794949,Adherent,RPMI-1640: 10%FBS,KYSE-140,KYSE140_OESOPHAGUS,esophagus,esophagus_squamous,,7
2,ACH-000824,-1.1070446330517254,Adherent,RPMI; 10% FBS,KYSE-510,KYSE510_OESOPHAGUS,esophagus,esophagus_squamous,,6
2,ACH-000827,-1.5343522655169313,Adherent,RPMI-1640: 10%FBS,WM-793,WM793_SKIN,skin,melanoma,,45
2,ACH-000829,-2.0630638888433017,Suspension,RPMI-1640: 85.0%,HuNS1,HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,29.8
2,ACH-000831,-2.6235231935999166,Adherent,EMEM; 15% FBS; ,HEC-50B,HEC50B_ENDOMETRIUM,uterus,uterus_endometrium,,12.6
1,ACH-000832,-2.5905520841981287,,DMEM;10% FBS; ,CAL 27,CAL27_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,14.3
2,ACH-000833,-0.8196307160712543,Adherent,RPMI;10% FBS; ,RH-30,RH30_SOFT_TISSUE,rhabdomyosarcoma,,,38.5
2,ACH-000834,-1.4392027410795347,Adherent,"EMEM; 10% FBS, 2mMGlutamax-1, 1xNEAA",UM-UC-1,UMUC1_URINARY_TRACT,urinary_tract,,,33.7
2,ACH-000835,-1.4060638497006503,,M10,GCT,GCT_SOFT_TISSUE,soft_tissue,pleomorphic_sarcoma,,20.2
2,ACH-000836,-1.78875949076317,Adherent,RPMI-1640: 90.0%,YD-15,YD15_SALIVARY_GLAND,upper_aerodigestive,upper_aerodigestive_squamous,,5.7
4,ACH-000837,-1.2438383769268957,Adherent,RPMI;10% FBS; 2%Glutamine,NCI-H322,NCIH322_LUNG,lung,lung_NSC,lung_adenocarcinoma,20.5
1,ACH-000838,-0.9233583152546616,Suspension,RPMI-1640: 90.0%,AMO-1,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,37
2,ACH-000839,-1.4300005210069602,Adherent,"E10+ L-glutamine: 2.0 mM, NEAA( Non-essential Amino Acids): 0.1 mM, Sodium Pyruvate: 0.1 mM",SCaBER,SCABER_URINARY_TRACT,urinary_tract,,,46
2,ACH-000840,-1.7097467577518581,Adherent,RPMI; 10% FBS,HCC-366,HCC366_LUNG,lung,lung_NSC,lung_mixed,14.5
4,ACH-000841,-1.6187712840417336,Adherent,RPMI; 5% FBS,NCI-H2087,NCIH2087_LUNG,lung,lung_NSC,lung_adenocarcinoma,27.7
2,ACH-000843,-1.3748953093679102,Adherent,RPMI; 10% FBS,HARA,HARA_LUNG,lung,lung_NSC,lung_squamous,39.3
2,ACH-000846,-1.9792522863443696,,EMEM: 10%FBS,FaDu,FADU_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,7.5
2,ACH-000847,-1.1744290361207574,Adherent,"Minimum Essential Media (MEM): 10%FBS,NEAA( Non-essential Amino Acids): 5.0 ml, L-glutamine: 2.0 mM",HGC-27,HGC27_STOMACH,gastric,,,40.9
2,ACH-000848,-1.782522735719262,Adherent,William's E medium with 10% FCS,JHH-7,JHH7_LIVER,liver,,,20.6
1,ACH-000849,-1.6593878987740966,Adherent,DMEM; 10% FBS,MDA-MB-468,MDAMB468_BREAST,breast,TNBC,,9.4
3,ACH-000851,-1.9274092591990235,Adherent,RPMI; 10% FBS,MOR/CPR,MORCPR_LUNG,lung,lung_NSC,lung_adenocarcinoma,22.6
3,ACH-000856,-1.492126239024173,Adherent,DMEM; 20% FBS;,CAL-51,CAL51_BREAST,breast,TNBC,,43.2
2,ACH-000858,-2.0357378613750936,Adherent,MEMalpha; 10% FBS,KNS-62,KNS62_LUNG,lung,lung_NSC,lung_squamous,20.2
2,ACH-000859,-1.2972015145631548,Adherent,RPMI; 10% FBS,HCC1954,HCC1954_BREAST,breast,HER2Amp,,33.2
3,ACH-000861,-1.1271147090216576,Adherent,RPMI; 10% FBS,HOP-62,HOP62_LUNG,lung,lung_NSC,lung_adenocarcinoma,22.6
2,ACH-000862,-1.4013653026337995,Adherent,DMEM; 10% FBS,KMBC-2,KMBC2_URINARY_TRACT,urinary_tract,,,29.4
2,ACH-000865,-1.7963965131831583,Adherent,RPMI:F12(1:1); 10% FBS,KYSE-450,KYSE450_OESOPHAGUS,esophagus,esophagus_squamous,,24.7
2,ACH-000866,-1.7687310297848529,Adherent,"RPMI; 10% FBS, 5ml insulin-transferrin-Selenium",NCI-H1048,NCIH1048_LUNG,lung,lung_small,,10.7
2,ACH-000867,-1.4331140471195492,Adherent,RPMI-1640: 90.0%,ChaGo-K-1,CHAGOK1_LUNG,lung,lung_NSC,,5.6
2,ACH-000869,-1.0920329870463246,Adherent,RPMI-1640: 90.0%,NCI-H1568,NCIH1568_LUNG,lung,lung_NSC,lung_adenocarcinoma,5.4
3,ACH-000872,-1.3889959387374116,Adherent,RPMI; 10% FBS,HCC515,HCC515_LUNG,lung,lung_NSC,lung_adenocarcinoma,27.3
2,ACH-000873,-1.6344506660287448,Adherent,RPMI 1640:F12 (1:1): 90.0%,KYSE-270,KYSE270_OESOPHAGUS,esophagus,esophagus_squamous,,15
3,ACH-000876,-1.1311112881117371,Adherent,L-15 15% FBS ;2mM Glutamine ;10mcg/mL Insulin ;10mcg/mL Glutathione,MDA-MB-415,MDAMB415_BREAST,breast,ERpos,,8
2,ACH-000878,-2.5526442328285706,Adherent,RPMI; 10% FBS,HCC-15,HCC15_LUNG,lung,lung_NSC,lung_squamous,11.9
2,ACH-000880,-1.6678192217090384,Adherent,F12K; 10% FBS,AGS,AGS_STOMACH,gastric,gastric_adenocarcinoma,,16.3
2,ACH-000881,-1.5730937033675876,Adherent,RPMI-1640: 10%FBS,MEL-JUSO,MELJUSO_SKIN,skin,melanoma,,19.8
2,ACH-000882,-1.7651311780130563,Adherent,DMEM;10% FBS; ,IGR-1,IGR1_SKIN,skin,melanoma,,8.6
2,ACH-000884,-1.9179541784550198,Adherent,RPMI-1640: 10%FBS,MDA-MB-435S,MDAMB435S_SKIN,skin,melanoma,,22.8
3,ACH-000885,-2.109491861932112,Adherent,MCDB 105:Medium 199 (1:1); 15% FBS,TOV-21G,TOV21G_OVARY,ovary,ovary_adenocarcinoma,ovary_clear_cell,37.7
2,ACH-000887,-1.3754457693137083,Adherent,DMEM; 10% FBS,SF-172,SF172_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,15
2,ACH-000889,-1.4568632643126056,Mixed Adherent and Suspension,RPMI; 10% FBS,KMM-1,KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,6.3
2,ACH-000896,-1.5754623006715014,Adherent,"DMEM; 15% FBS, 2mMGlutamax-1",647-V,647V_URINARY_TRACT,urinary_tract,,,14.2
4,ACH-000900,-2.6132968926743803,Adherent,RPMI; 10% FBS,NCI-H23,NCIH23_LUNG,lung,lung_NSC,lung_adenocarcinoma,18.2
3,ACH-000901,-1.0160060088046805,,RPMI;10% FBS; ,HCC-1359,HCC1359_LUNG,lung,lung_NSC,lung_large,19.3
2,ACH-000905,-1.947185898085458,Light Adherent or Suspension ,RPMI-1640: 90.0%,5637,5637_URINARY_TRACT,urinary_tract,,,4.9
3,ACH-000906,-1.4712219476235515,Adherent,RPMI;10% FBS; ,ES-2,ES2_OVARY,ovary,ovary_adenocarcinoma,ovary_clear_cell,5.9
2,ACH-000907,-1.07788300077324,Adherent,RPMI;10% FBS; ,SNU-349,SNU349_KIDNEY,kidney,,,26.8
3,ACH-000910,-1.2083841920078828,Adherent,RPMI; 10% FBS,MDA-MB-453,MDAMB453_BREAST,breast,TNBC,,18
2,ACH-000911,-2.2956801695115843,Adherent,RPMI; 10% FBS,NUGC-3,NUGC3_STOMACH,gastric,gastric_adenocarcinoma,,16.2
2,ACH-000912,-2.0744284091263934,Adherent,DMEM/F12 (1:1);10 % FBS; 1ml Insulin-transferrin-selenium,NCI-H2286,NCIH2286_LUNG,lung,lung_small,,24.4
2,ACH-000913,-1.267709974074247,Adherent,RPMI-1640: 20%FBS,ESS-1,ESS1_ENDOMETRIUM,uterus,uterus_endometrium,,41.4
1,ACH-000915,-1.7251667940224509,Adherent,RPMI-1640; 10%FBS,IPC-298,IPC298_SKIN,skin,melanoma,,5.7
2,ACH-000916,-0.6672021435724671,Adherent,"RPMI-1640: 95%,5%FBS",NCI-H1573,NCIH1573_LUNG,lung,lung_NSC,lung_adenocarcinoma,48
2,ACH-000917,-1.322439557105566,Adherent,RPMI-1640: 10%FBS,TE-4,TE4_OESOPHAGUS,esophagus,esophagus_squamous,,36.2
2,ACH-000920,-0.7591704645355501,Suspension,RPMI-1640: 90.0%,CML-T1,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,CML,,47.8
2,ACH-000921,-1.7868358176559582,Adherent,RPMI-1640: 20%FBS,NCI-H1339,NCIH1339_LUNG,lung,lung_small,,7.2
2,ACH-000924,-1.7313850588892146,Adherent,RPMI-1640: 90.0%,NCI-H2172,NCIH2172_LUNG,lung,lung_NSC,,13
3,ACH-000926,-1.0987330202102612,Adherent,E20+Glu+NEAA,HT55,HT55_LARGE_INTESTINE,colorectal,,,30.6
2,ACH-000928,-1.0688409682512978,Adherent,"DMEM/F-12 (1:1): 85.0%, 15%FBS",JHUEM-1,JHUEM1_ENDOMETRIUM,uterus,uterus_endometrium,,42.5
2,ACH-000929,-1.1267999238332864,Adherent,RPMI; 10% FBS,NCI-H2110,NCIH2110_LUNG,lung,lung_NSC,,32.2
2,ACH-000932,-1.9367471417269213,Suspension,RPMI-1640: 90.0%,SNU-1,SNU1_STOMACH,gastric,,,14.6
3,ACH-000935,-1.7381755339045568,Adherent,DMEM; 10% FBS;2mM Glutamine ,MDST8,MDST8_LARGE_INTESTINE,colorectal,,,27.8
2,ACH-000936,-1.6435105558981145,Adherent,RPMI; 20% FBS; 0.1mM NEAA; 1mM Sodium Pyruvate,EFO-27,EFO27_OVARY,ovary,ovary_adenocarcinoma,ovary_endometrioid,28.2
2,ACH-000937,-1.8437918930047792,Suspension,RPMI; 10% FBS,PF-382,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,T-cell_ALL,,28.8
2,ACH-000938,-1.8812159705948481,Suspensions,RPMI; 15% FBS,NALM-6,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,B-cell_ALL,,13.4
2,ACH-000939,-1.34197197929404,Adherent,EMEM: 90.0%,SK-UT-1,SKUT1_SOFT_TISSUE,soft_tissue,leiomyosarcoma,,50.4
2,ACH-000941,-1.0597921340181589,Adherent,EMEM: 90.0% 10%FBS,HEC-1-B,HEC1B_ENDOMETRIUM,uterus,uterus_endometrium,,35.5
3,ACH-000943,-1.5848296290462252,Adherent,MEM10,RKO,RKO_LARGE_INTESTINE,colorectal,colorectal_MSI,,50.9
3,ACH-000947,-2.178283779148384,Adherent,MEM10,OVK18,OVK18_OVARY,ovary,ovary_adenocarcinoma,ovary_endometrioid,17.7
3,ACH-000950,-0.9323811472188288,Adherent,F12; 10% FBS; 2mMGlutamax-1; 1500mg/L NaHCO3 (2 vols of 100X),LoVo,LOVO_LARGE_INTESTINE,colorectal,colorectal_MSI,,46.6
2,ACH-000953,-1.7681855820491093,Suspension,RPMI; 10% FBS,"SUP-T1, Sup-T1",SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,T-cell_ALL,,7.1
2,ACH-000954,-1.1452131928844265,Adherent,McCoy's 5A; 10% FBS,HEC-1-A,HEC1A_ENDOMETRIUM,uterus,uterus_endometrium,,8.4
2,ACH-000957,-2.199361749853729,Adherent,"EMEM, 10%FBS",LS 180,LS180_LARGE_INTESTINE,colorectal,colorectal_MSI,,47
2,ACH-000958,-1.7526073216070617,Semi-adherent,RPMI-1640: 90.0%,SW48,SW48_LARGE_INTESTINE,colorectal,colorectal_MSI,,35.8
2,ACH-000960,-1.5817833848841472,Suspension,RPMI; 10% FBS,Reh,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,B-cell_ALL,,35
2,ACH-000963,-0.5128662691031677,Adherent,"EMEM, 10%FBS",CCK-81,CCK81_LARGE_INTESTINE,colorectal,colorectal_MSI,,49.9
2,ACH-000968,-1.460008279409193,Adherent,RPMI;10% FBS; ,COLO 792,COLO792_SKIN,skin,melanoma,,36.8
3,ACH-000969,-2.162947662472354,Semi-Adherent,R10,KM12,KM12_LARGE_INTESTINE,colorectal,colorectal_MSI,,19.9
2,ACH-000972,-1.2307278889573965,Adherent,EMEM; 15% FBS,HEC-151,HEC151_ENDOMETRIUM,uterus,uterus_endometrium,,44
1,ACH-000973,-1.6032131237740548,Adherent,DMEM; 10% FBS,639-V,639V_URINARY_TRACT,urinary_tract,,,20.3
2,ACH-000974,-1.7518874636284674,Adherent,Ham F-12: 80.0%,SNG-M,SNGM_ENDOMETRIUM,uterus,uterus_endometrium,,9.8
2,ACH-000978,-0.5819832435525694,Adherent,RPMI-1640: 10%FBS,EN,EN_ENDOMETRIUM,uterus,uterus_endometrium,,28
2,ACH-000984,-1.4115987112976462,Adherent,EMEM; 15% FBS,HEC-6,HEC6_ENDOMETRIUM,uterus,uterus_endometrium,,38.1
3,ACH-000986,-1.8494165131260971,Adherent,"DMEM;15%FBS, 2mMGlutamax-1",HT115,HT115_LARGE_INTESTINE,colorectal,,,29.8
2,ACH-000988,-0.841971320327654,Adherent,40% RPMI 1640 + 40% MEM (with Earle's salts) + 20% h.i. FBS,MFE-319,MFE319_ENDOMETRIUM,uterus,uterus_endometrium,,42.1
2,ACH-000993,-1.1244634399510343,Adherent,"DMEM/F-12 (1:1),10%FBS,Plus NEAA",JHUEM-7,JHUEM7_ENDOMETRIUM,uterus,uterus_endometrium,,30.2
2,ACH-000994,-1.1278533676947078,Adherent,EMEM; 15% FBS; ,HEC-59,HEC59_ENDOMETRIUM,uterus,uterus_endometrium,,33.5
2,ACH-000996,-1.8843103143457591,Adherent,EMEM;0.15% FBS; ,HEC-251,HEC251_ENDOMETRIUM,uterus,uterus_endometrium,,17.4
1,ACH-001001,-2.1046273697614164,Adherent,EMEM; 10% FBS; 0.015 mg/ml 5-bromo-2'-seoxyuridine,143B,143B_BONE,bone,osteosarcoma,,11
2,ACH-001020,-1.2945971804800451,Adherent,DMEM; 10% FBS,BT-16,BT16_SOFT_TISSUE,rhabdoid,,,52.3
2,ACH-001028,-1.6593437227178691,Mixed Adherent and Suspension,IMDM + 20% FBS + 4mM Glutamine + 1X Insulin-Transferrin-Selenium,CHLA-06,CHLA06ATRT_SOFT_TISSUE,rhabdoid,,,45.2
2,ACH-001031,-1.375356569127259,Adherent,"Iscove (IMDM): 20%FBS: 2mMGlutamax; 005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite",CHLA-266,CHLA266_SOFT_TISSUE,rhabdoid,,,35.8
2,ACH-001038,-1.648509350421583,Light Adherent or Suspension ,IMDM + 20% FBS + 4mM Glutamine + 1X Insulin-Transferrin-Selenium,COG-E-352,COGE352_BONE,bone,Ewing_sarcoma,,1.8
2,ACH-001048,-1.432988921195166,Adherent,DMEM; 10% FBS; 2mM L-glutamine,COV504,COV504_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,13
2,ACH-001050,-1.0455568248567872,Adherent,DMEM HG; 10%FBS,CW9019,CW9019_SOFT_TISSUE,rhabdomyosarcoma,,,19.3
3,ACH-001053,-1.3259986369463994,Semi-Adherent,"DMEM; 10% FBS; 2mM L-glutamine, 2mM sodium pyruvate",D425,D425_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma,med_group_3,21.8
3,ACH-001054,-1.706920484570318,Semi-Adherent,DMEM:F12 (1:1); 15% FBS,D458,D458_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma,med_group_3,26.4
3,ACH-001061,-2.1159827165902243,Adherent,RPMI 1640 + 10% FBS,DLD-1,DLD1_LARGE_INTESTINE,colorectal,,,25.9
2,ACH-001067,-2.3491168949830654,Adherent,RPMI; 10% FBS,F5,F5_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,meningioma,,44.7
1,ACH-001075,-1.6866665838096713,Adherent,RPMI; 10% FBS,"NCI-H292, H292",NCIH292_LUNG,lung,lung_NSC,,29.4
2,ACH-001096,-1.5837321000466469,Adherent,RPMI;10% FBS; ,"JR, JR-1",JR_SOFT_TISSUE,rhabdomyosarcoma,,,52.4
3,ACH-001111,-0.8802357531176429,Suspension,RPMI + 10% FBS,L82,L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,T-cell_lymphoma_other,,26
3,ACH-001119,-1.1014149137223883,Suspension,RPMI; 15% FBS,Mac-2A,MAC2A_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,T-cell_lymphoma_other,,27.5
2,ACH-001128,-1.835720307450424,Adherent,R10,MON,MON_SOFT_TISSUE,rhabdoid,,,25.8
2,ACH-001134,-1.776615832407676,Suspension,RPMI + 2mM Glutamine + 100 U/ml IL-2 + 100 U/ml IL-4 + 10% human AB serum,MYLA,MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,T-cell_lymphoma_other,,10.7
2,ACH-001151,-1.0721046519165671,Adherent,"RPMI-1640: 95.0%, 5% FBS",OVCAR-5,OVCAR5_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,16.5
2,ACH-001163,-1.5129300395916387,Adherent,RPMI; 10% FBS,"PEDS005TPFAD, Peds005T Adh, Peds005T_PF_AD",CCLFPEDS0001T_KIDNEY,kidney,,,10.2
2,ACH-001164,-1.2235892472281351,Adherent,"Ham F-12: 25.0%, DMEM: 75.0%, Penicillin-Streptomycin: 550.0 ug/mL, Human Insulin: 5.0 ug/mL, Y-27632: 5.0 uM, Cholera toxin: 8.6 ng/mL, L-glutamine: 2.0 mM, EGF: 10.0 ng/mL, Hydrocortisone: 0.4 ug/mL, Fungizone: 0.25 ug/mL, Gentamicin: 10.0 ug/mL
","Peds015T, Peds015T(icat043)",CCLFPEDS0003T_SOFT_TISSUE,soft_tissue,sarcoma_undifferentiated,,61
2,ACH-001183,-1.7071180423104446,,,,RT11284_URINARY_TRACT,urinary_tract,,,32.2
2,ACH-001193,-0.9061266870130276,,,SK-PN-DW,SKPNDW_BONE,bone,Ewing_sarcoma,,31.2
2,ACH-001196,-1.1918688020363328,Adherent,DMEM; 10%FBS,SMS-CTR,SMSCTR_SOFT_TISSUE,rhabdomyosarcoma,,,38.2
3,ACH-001197,-1.7868532254310527,Suspension,R10,SMZ-1,SMZ1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,,,24
2,ACH-001205,-2.1138390137068845,Adherent,RPMI; 10% FBS; 2mM glutamine,TC-32,TC32_BONE,bone,Ewing_sarcoma,,42.3
2,ACH-001211,-1.4761484808580492,Adherent,R10,TTC-549,TTC549_SOFT_TISSUE,rhabdoid,,,29.2
2,ACH-001228,-1.0642554166886322,,"EMEM; 10% FBS, 2mMGlutamax-1","UPCISCC152, UPCI:SCC152",UPCISCC152_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,NO VALUES 8.16.16
1,ACH-001232,-1.5164574363880314,Adherent,D:F10+Glu,,UW228_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma,non-MYC,12.3
2,ACH-001239,-1.56691366748254,Adherent,DMEM; 10% FBS,WM-266-4,WM2664_SKIN,skin,melanoma,,28.5
2,ACH-001270,-0.9752739457846246,Adherent,D20+1mM Sodium pyruvate,1273/99,127399_SOFT_TISSUE,soft_tissue,synovial_sarcoma,,51.9
2,ACH-001274,-1.1946706619893233,Adherent,D20+1mM Sodium pyruvate,SW982,SW982_SOFT_TISSUE,soft_tissue,synovial_sarcoma,,17
2,ACH-001275,-1.7071091264975746,Adherent,D20+1mM Sodium pyruvate,SYO1,SYO1_SOFT_TISSUE,soft_tissue,synovial_sarcoma,,16.7
2,ACH-001277,-0.9445323581644806,Adherent,D20+1mM Sodium pyruvate,Yamato,YAMATO_SOFT_TISSUE,soft_tissue,synovial_sarcoma,,19
2,ACH-001278,-1.4603123843516552,Adherent,"20% FBS, 40% DMEM, 40% DMEM/F12",BIN-67,BIN67_OVARY,rhabdoid,,,57
2,ACH-001280,-0.950139474116516,Adherent,D20+SP,SCS-214,SCS214_SOFT_TISSUE,soft_tissue,synovial_sarcoma,,52.8
2,ACH-001283,-1.6423688956092255,Adherent,"RPMI-1640: 90.0%; 10%heat inactive FBS,2mMGlutamax",TC-106,TC106_BONE,bone,Ewing_sarcoma,,39.8
2,ACH-001289,-1.408618664576426,Suspension,IMDM + 20% FBS + 4mM Glutamine + 1X Insulin-Transferrin-Selenium,COG-AR-359,COGAR359_SOFT_TISSUE,rhabdoid,,,18.3
2,ACH-001300,-1.6861828817812972,Semi-adherent,IMDM + 20% FBS + 4mM Glutamine + 1X Insulin-Transferrin-Selenium,CHLA15,CHLA15_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,9
2,ACH-001301,-1.6582057369412664,Adherent,IMDM + 20% FBS + 4mM Glutamine + 1X Insulin-Transferrin-Selenium,COGN278,COGN278_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,33.1
2,ACH-001302,-1.012762627144048,Semi-adherent,IMDM + 20% FBS + 4mM Glutamine + 1X Insulin-Transferrin-Selenium,COGN305,COGN305_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,16.5
2,ACH-001306,-1.0019904511131903,Adherent,RPMI-1640: 85.0%,8305C,8305C_THYROID,thyroid,,,8.6
2,ACH-001318,-1.7178422762574364,Adherent,DMEM; 10% FBS,PLC/PRF/5,PLCPRF5_LIVER,liver,,,15.7
2,ACH-001322,-1.7726409994809351,Adherent,D20+1mM Sodium pyruvate,CME-1,CME1_SOFT_TISSUE,soft_tissue,synovial_sarcoma,,30.1
2,ACH-001328,-1.7868037042799814,Adherent,DMEM + 10% FBS,A-431,A431_SKIN,skin,epidermoid_carcinoma,,13.5
